Apr  9 04:00:00 VPX-13 newsyslog[72292]: logfile turned over due to size>100K
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default SNMP TRAP_SENT 0 0 :  haPropFailure (nsPartitionName = default)  
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87320 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "import ns extension local:weeknumofyear.lua weeknumofyear -overwrite" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87321 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87322 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "scp -pf '/var/tmp/DIFF_192.168.101.5_0bf52909-0576-473d-ad64-af1b7d4f541f.xml'" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87323 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87324 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension weeknumofyear" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default SNMP TRAP_SENT 0 0 :  netScalerConfigChange (nsUserName = "nsroot", configurationCmd = "import ns extension local:weeknumofyear.lua we...", authorizationStatus = authorized, commandExecutionStatus = successful, nsClientIPAddr = 192.168.1.130, nsPartitionName = default)  
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87326 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87327 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87328 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension -detail all" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87329 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension -detail all" - Status "Success" 
Apr  9 04:00:19 <local0.info> 192.168.101.5 04/09/2021:04:00:19 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87330 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension -detail all" - Status "Success" 
Apr  9 04:00:23 <local0.info> 192.168.101.5 04/09/2021:04:00:23 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87331 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:00:23 <local0.info> 192.168.101.5 04/09/2021:04:00:23 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87332 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:00:23 <local0.info> 192.168.101.5 04/09/2021:04:00:23 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87333 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:00:24 <local0.info> 192.168.101.5 04/09/2021:04:00:24 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87335 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:00:29 <local0.info> 192.168.101.5 04/09/2021:04:00:29 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87338 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:30 <local0.info> 192.168.101.5 04/09/2021:04:00:30 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87339 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "shell" - Status "Success" 
Apr  9 04:00:32 <local0.info> 192.168.101.5 04/09/2021:04:00:32 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87340 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:32 <local0.info> 192.168.101.5 04/09/2021:04:00:32 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87341 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "shell" - Status "Success" 
Apr  9 04:00:33 <local0.info> 192.168.101.5 04/09/2021:04:00:33 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87342 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "logout" - Status "Success" 
Apr  9 04:00:34 <local0.info> 192.168.101.5 04/09/2021:04:00:34 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87343 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:34 <local0.info> 192.168.101.5 04/09/2021:04:00:34 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87344 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "scp -pf '/var/nsconf_tmp.tgz'" - Status "Success" 
Apr  9 04:00:38 <local0.info> 192.168.101.5 04/09/2021:04:00:38 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75805 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:00:52 <local0.info> 192.168.101.5 04/09/2021:04:00:52 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75806 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:01:02 <local0.info> 192.168.101.5 04/09/2021:04:01:02 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87350 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:01:03 <local0.info> 192.168.101.5 04/09/2021:04:01:03 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87351 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75810 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75811 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ssl" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75812 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol tcp" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87352 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol http" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75813 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol udp" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75814 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat system" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75815 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ssl vserver" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75816 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat lb vserver" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87353 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol icmp" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87354 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cmp" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87355 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol ip" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75817 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol icmpv6" - Status "Success" 
Apr  9 04:01:06 <local0.info> 192.168.101.5 04/09/2021:04:01:06 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87356 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol ipv6" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87357 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cs vserver" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75818 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cr vserver" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87358 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat vpn vserver" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75819 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat gslb vserver" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75820 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat service" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87359 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat interface" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75821 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ns" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87360 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat authentication vserver" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75822 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTP_ITM_API" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87361 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat aaa" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75823 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_dns-tcp_53_marigold.local" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87362 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ns globalcntr -counters allnic_err_rl_pkt_drops allnic_err_rl_cpu_pkt_drops allnic_err_rl_pps_pkt_drops allnic_err_rl_rate_pkt_drops rl_tot_ssl_rl_enforced rl_tot_ssl_rl_data_limited rl_tot_ssl_rl_sess_limited" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75824 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTPS_443_CVAD" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87363 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTP_80_CVAD" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87364 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_SSL_BRIDGE_444_CVAD" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87365 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_ntp-udp_53_marigold.local" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75825 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_ldap_ssl_tcp_636" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87366 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTPS_443_CRL-Refresh" - Status "Success" 
Apr  9 04:01:07 <local0.info> 192.168.101.5 04/09/2021:04:01:07 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87367 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_dns-udp_53_marigold.local" - Status "Success" 
Apr  9 04:01:20 <local0.info> 192.168.101.5 04/09/2021:04:01:20 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75827 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:01:34 <local0.info> 192.168.101.5 04/09/2021:04:01:34 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75829 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:01:48 <local0.info> 192.168.101.5 04/09/2021:04:01:48 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75858 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:01:52 <local0.info> 192.168.101.5 04/09/2021:04:01:52 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87385 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:01:54 <local0.info> 192.168.101.5 04/09/2021:04:01:54 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87386 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:01:54 <local0.info> 192.168.101.5 04/09/2021:04:01:54 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87387 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show cs vserver" - Status "Success" 
Apr  9 04:01:54 <local0.info> 192.168.101.5 04/09/2021:04:01:54 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87388 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show cs vserver" - Status "Success" 
Apr  9 04:02:03 <local0.info> 192.168.101.5 04/09/2021:04:02:03 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87392 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:02:03 <local0.info> 192.168.101.5 04/09/2021:04:02:03 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87393 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:02:04 <local0.info> 192.168.101.5 04/09/2021:04:02:04 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87394 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:02:17 <local0.info> 192.168.101.5 04/09/2021:04:02:17 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87396 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87397 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87398 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show policy httpCallout" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87399 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show policy patset" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87400 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show policy dataset" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87401 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show policy stringmap" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87402 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns variable" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87403 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show location" - Status "Success" 
Apr  9 04:02:25 <local0.info> 192.168.101.5 04/09/2021:04:02:25 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87404 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns assignment" - Status "Success" 
Apr  9 04:02:30 <local0.info> 192.168.101.5 04/09/2021:04:02:30 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87405 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder policy" - Status "Success" 
Apr  9 04:02:30 <local0.info> 192.168.101.5 04/09/2021:04:02:30 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87406 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder action" - Status "Success" 
Apr  9 04:02:30 <local0.info> 192.168.101.5 04/09/2021:04:02:30 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87407 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder policylabel" - Status "Success" 
Apr  9 04:02:30 <local0.info> 192.168.101.5 04/09/2021:04:02:30 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87408 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:02:31 <local0.info> 192.168.101.5 04/09/2021:04:02:31 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87409 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:02:31 <local0.info> 192.168.101.5 04/09/2021:04:02:31 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87411 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder policy" - Status "Success" 
Apr  9 04:02:31 <local0.info> 192.168.101.5 04/09/2021:04:02:31 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75863 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:02:31 <local0.info> 192.168.101.5 04/09/2021:04:02:31 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87412 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder policy" - Status "Success" 
Apr  9 04:02:33 <local0.info> 192.168.101.5 04/09/2021:04:02:33 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87413 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show policy expression" - Status "Success" 
Apr  9 04:02:33 <local0.info> 192.168.101.5 04/09/2021:04:02:33 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87414 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show appflow action" - Status "Success" 
Apr  9 04:02:33 <local0.info> 192.168.101.5 04/09/2021:04:02:33 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87415 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show audit messageaction" - Status "Success" 
Apr  9 04:02:33 <local0.info> 192.168.101.5 04/09/2021:04:02:33 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87416 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show responder action" - Status "Success" 
